positive,negative
industri teknik masih nugraha jalan cariban unity salam 2008 2012,gedung ada dari yang university sama banget jaman atau asrama
angkatan ya belum udah dan kelas ini dewi aku se,di dan pernah nya satu kuliah tel juga paling air
masih 2016 teknik di masuk ini temen angkatan ada tahun,kampus kita agung mantab nursatria banyuwiguna mantap selalu inget masih
industrial 2008 engineering indonesia telco parakontel is dan alumni ya,jadi dan ke lift bangga tangga dwi pake ini naik
naik elektro saya teknik 2011 mbti sama jadi bisa jam,sehat selalu martha bu jalan pas ibuuu ada tangga pingsan
dari yg lantai 2013 hahaha kelas lift alumni temen teman,sukses dan selalu mbti firman ya atas colek aamiin telkom
angkatan 2007 teknik informasi sistem industri informatika 2014 salam telekomunikasi,dulu di alhamdulillah keren buat paling bawah juara mau rayi
one akuntansi angkatan 2014 2015 s1 muhammad tri ma favorite,keren sukses nurul pada international tag yg uda business dapilca
mbti 2013 2011 hadir saya kuliah hallo congratulation masih untuk,dan di ga ke lt pas produk desain min 2011
komunikasi ilmu 2014 angkatan 2012 2009 if 2007 informasi sistem,di lantai gku ke pernah dapet terus renang lift karena
